IdentificacaoMateria,DadosBasicosMateria,Classificacoes,Assunto,AtualizacoesRecentes
"{'CodigoMateria': '135189', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '00675', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 675/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7717669'}","{'EmentaMateria': 'Dispõe sobre a anistia aos empréstimos registrados em nome dos membros das cooperativas e associações comunitárias do município de Rosário junto ao Banco do Nordeste (BNB) e Banco do Brasil (BB), referente à primeira e a segunda etapas do Pólo de Confecções de Rosário (MA) e dá outras providências.', 'ExplicacaoEmentaMateria': 'Concede anistia total os membros das cooperativas e das associações comunitárias do município de Rosário(MA), que contraíram dívidas junto ao Banco do Nordeste e Banco do Brasil, referentes à implantação do Polo de Confecções de Rosário (MA).', 'IndexacaoMateria': 'CRIAÇÃO ,  LEI FEDERAL ,  CRITERIOS ,  ANISTIA ,  MEMBROS ,  COOPERATIVA ,  ASSOCIAÇÕES ,  ROSARIO (MA) ,  VITIMA ,  MANIPULAÇÃO ,  EMPRESTIMO ,  CONSTRUÇÃO ,  EMPREENDIMENTO ,  COMERCIO ,  FABRICAÇÃO ,  COMERCIALIZAÇÃO ,  CONFECÇÃO ,  DIVIDA ,  BANCO DO NORDESTE DO BRASIL S/A (BNB) ,  BANCO DO BRASIL .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-02-12', 'DataLeitura': '2019-02-12'}","{'Classificacao': {'CodigoClasse': '33805047', 'DescricaoClasse': 'Desenvolvimento Regional', 'DescricaoClasseHierarquica': 'Economia e Desenvolvimento / Desenvolvimento Regional'}}","{'AssuntoEspecifico': {'Codigo': '107', 'Descricao': 'Desenvolvimento regional'}, 'AssuntoGeral': {'Codigo': '82', 'Descricao': 'Econômico'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-25 14:16:10'}}"
"{'CodigoMateria': '135532', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '01271', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 1271/2019', 'IndicadorTramitando': 'Não', 'IdentificacaoProcesso': '7723623'}","{'EmentaMateria': 'Acrescenta o art. 71-A à Lei nº. 8.069, de 13 de julho de 1990, conferindo livre acesso nos eventos públicos e privados aos agentes ou comissários de proteção da infância e juventude.', 'ExplicacaoEmentaMateria': 'Altera o Estatuto da Criança e do Adolescente, para assegurar ao agente de proteção da infância e juventude o livre acesso a eventos, ""shows"", espetáculos, casas noturnas, bares, cinemas, teatros e estádios.', 'IndexacaoMateria': 'ALTERAÇÃO ,  ESTATUTO DA CRIANÇA E DO ADOLESCENTE ,  GARANTIA ,  ACESSO ,  INGRESSO ,  EVENTO ,  ESPETACULO ,  CASA NOTURNA ,  BAR ,  CINEMA ,  TEATRO ,  ESTADIO ,  AGENTE ,  COMISSARIO ,  PROTEÇÃO ,  INFANCIA ,  JUVENTUDE .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-03-07', 'DataLeitura': '2019-03-07'}","{'Classificacao': {'CodigoClasse': '33809393', 'DescricaoClasse': 'Crianças e Adolescentes', 'DescricaoClasseHierarquica': 'Política Social / Proteção Social / Crianças e Adolescentes'}}","{'AssuntoEspecifico': {'Codigo': '145', 'Descricao': 'Família, proteção a crianças, adolescentes, mulheres e idosos'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'PUBLICACAO_OFICIAL', 'DataUltimaAtualizacao': '2024-03-20 20:33:47'}}"
"{'CodigoMateria': '135859', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '01641', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 1641/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7731778'}","{'EmentaMateria': 'Altera a Lei n° 9.433, de 8 de janeiro de 1997, para incluir entre os fundamentos da Política Nacional de Recursos Hídricos a determinação sobre o emprego da água de menor qualidade em usos menos exigentes.', 'ExplicacaoEmentaMateria': 'Altera a Política Nacional de Recursos Hídricos para vedar o uso de água de melhor qualidade em usos menos exigentes.', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI FEDERAL ,  INCLUSÃO ,  POLITICA NACIONAL ,  RECURSOS HIDRICOS ,  DETERMINAÇÃO ,  UTILIZAÇÃO ,  AGUA .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-03-20', 'DataLeitura': '2019-03-20'}","{'Classificacao': {'CodigoClasse': '33809634', 'DescricaoClasse': 'Meio Ambiente', 'DescricaoClasseHierarquica': 'Meio Ambiente'}}","{'AssuntoEspecifico': {'Codigo': '146', 'Descricao': 'Meio ambiente'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'PUBLICACAO_OFICIAL', 'DataUltimaAtualizacao': '2024-03-25 12:45:03'}}"
"{'CodigoMateria': '136220', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '02123', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Revisora', 'DescricaoIdentificacaoMateria': 'PL 2123/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7739597'}","{'EmentaMateria': 'Altera a Lei nº 10.753, de 30 de outubro de 2003, que institui a Política Nacional do Livro, para incluir especificações a respeito da ficha de catalogação de obras estrangeiras traduzidas.', 'ExplicacaoEmentaMateria': 'Estabelece especificações sobre a ficha de catalogação de obras estrangeiras traduzidas.', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI FEDERAL ,  POLITICA NACIONAL ,  INCENTIVO ,  LIVRO ,  CRITERIOS ,  CATALOGAÇÃO ,  OBRA LITERARIA ,  LINGUA ESTRANGEIRA .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-04-05', 'DataLeitura': '2019-04-08'}","{'Classificacao': {'CodigoClasse': '33808987', 'DescricaoClasse': 'Cultura', 'DescricaoClasseHierarquica': 'Política Social / Cultura'}}","{'AssuntoEspecifico': {'Codigo': '137', 'Descricao': 'Arte e cultura'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-25 17:24:14'}}"
"{'CodigoMateria': '136472', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '02492', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 2492/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7744918'}","{'EmentaMateria': 'Altera o inciso IV do art. 5º da Lei nº 7.827, de 27 de setembro de 1989, que regulamenta os fundos constitucionais, para incluir na área considerada como semiárido 44 municípios do Estado do Maranhão.', 'ExplicacaoEmentaMateria': 'Inclui 44 municípios maranhenses na região do semiárido, e determina que esta área esteja sob a atuação da SUDENE, com o objetivo de direcionar recursos para melhorar os índices sociais e econômicos dessa região.', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI FEDERAL ,  REGULAMENTAÇÃO ,  FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO) ,  FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE) ,  FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO) ,  INCLUSÃO ,  AREA ,  MUNICIPIOS ,  ESTADO DO MARANHÃO (MA) .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-04-24', 'DataLeitura': '2019-04-24'}","{'Classificacao': {'CodigoClasse': '33805047', 'DescricaoClasse': 'Desenvolvimento Regional', 'DescricaoClasseHierarquica': 'Economia e Desenvolvimento / Desenvolvimento Regional'}}","{'AssuntoEspecifico': {'Codigo': '107', 'Descricao': 'Desenvolvimento regional'}, 'AssuntoGeral': {'Codigo': '82', 'Descricao': 'Econômico'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-22 14:11:31'}}"
"{'CodigoMateria': '137268', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '03480', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 3480/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7763641'}","{'EmentaMateria': 'Altera a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, cria o Sistema Nacional de Gerenciamento de Recursos Hídricos, regulamenta o inciso XIX do art. 21 da Constituição Federal, e altera o art. 1º da Lei nº 8.001, de 13 de março de 1990, que modificou a Lei nº 7.990, de 28 de dezembro de 1989, para que a proteção ao patrimônio turístico e paisagístico seja verificada na outorga de recursos hídricos para aproveitamento dos potenciais hidrelétricos.', 'ExplicacaoEmentaMateria': 'Insere o uso turístico e recreacional dos recursos hídricos na Política Nacional de Recursos Hídricos. Determina o respeito ao patrimônio turístico e paisagístico na outorga de direitos de uso de recursos hídricos, tais como captação, extração, lançamento de resíduos e aproveitamento hidrelétrico.', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI FEDERAL ,  INCLUSÃO ,  IMPORTANCIA ,  PROTEÇÃO ,  PATRIMONIO TURISTICO ,  BENS PAISAGISTICOS ,  AGUA ,  HIPOTESE ,  ANALISE ,  PEDIDO ,  USINA HIDROELETRICA .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-06-12', 'DataLeitura': '2019-06-12'}","{'Classificacao': {'CodigoClasse': '33804925', 'DescricaoClasse': 'Turismo', 'DescricaoClasseHierarquica': 'Economia e Desenvolvimento / Indústria, Comércio e Serviços / Turismo'}}","{'AssuntoEspecifico': {'Codigo': '118', 'Descricao': 'Turismo'}, 'AssuntoGeral': {'Codigo': '82', 'Descricao': 'Econômico'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-25 20:01:46'}}"
"{'CodigoMateria': '137281', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '03470', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 3470/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7763817'}","{'EmentaMateria': 'Insere o art. 433-A na Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para garantir às microempresas e às empresas de pequeno porte que admitirem aprendizes prioridade, condições facilitadas e taxas de juros diferenciadas na obtenção de empréstimos de instituições financeiras integrantes das administrações públicas dos entes federados.', 'ExplicacaoEmentaMateria': 'Confere às microempresas e às empresas de pequeno porte que empregarem aprendizes e os matricularem em cursos dos serviços nacionais de aprendizagem condições diferenciadas para a obtenção de empréstimos de instituições financeiras integrantes da administração pública.', 'IndexacaoMateria': 'ALTERAÇÃO ,  DECRETO LEI FEDERAL ,  CONSOLIDAÇÃO DAS LEIS DO TRABALHO (CLT) ,  PEQUENA EMPRESA ,  ADMISSÃO ,  APRENDIZ ,  GARANTIA ,  PRIORIDADE ,  FACILITAÇÃO ,  VANTAGENS ,  TAXA ,  JUROS ,  OBTENÇÃO ,  EMPRESTIMO ,  INSTITUIÇÃO FINANCEIRA ,  ADMINISTRAÇÃO PUBLICA ,  ENTE FEDERADO .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-06-12', 'DataLeitura': '2019-06-12'}","{'Classificacao': {'CodigoClasse': '33808927', 'DescricaoClasse': 'Trabalho e Emprego', 'DescricaoClasseHierarquica': 'Política Social / Trabalho e Emprego'}}","{'AssuntoEspecifico': {'Codigo': '148', 'Descricao': 'Trabalho e emprego'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-21 18:50:19'}}"
"{'CodigoMateria': '137585', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '03882', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 3882/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7776689'}","{'EmentaMateria': 'Autoriza a reabertura do prazo de que trata o art. 4º da Lei nº 13.340, de 28 de setembro de 2016, por doze meses, a partir do início da vigência dos efeitos desta Lei, para a liquidação de dívidas originárias de operações de crédito rural inscritas em dívida ativa da União.', 'ExplicacaoEmentaMateria': 'Autoriza a ampliação em 12 (doze) meses do prazo para concessão de descontos para a liquidação de dívidas originárias de operações de crédito rural inscritas em dívida ativa da União', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI FEDERAL ,  AUTORIZAÇÃO ,  AMPLIAÇÃO ,  PRAZO DETERMINADO ,  CONCESSÃO ,  DESCONTO ,  ABATIMENTO ,  LIQUIDAÇÃO ,  DIVIDA ,  CREDITO RURAL ,  INSCRIÇÃO ,  DIVIDA ATIVA .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-07-04', 'DataLeitura': '2019-07-04'}","{'Classificacao': {'CodigoClasse': '33805077', 'DescricaoClasse': 'Política Fundiária e Reforma Agrária', 'DescricaoClasseHierarquica': 'Economia e Desenvolvimento / Política Fundiária e Reforma Agrária'}}","{'AssuntoEspecifico': {'Codigo': '115', 'Descricao': 'Política fundiária e reforma agrária'}, 'AssuntoGeral': {'Codigo': '82', 'Descricao': 'Econômico'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-22 12:17:19'}}"
"{'CodigoMateria': '138236', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '04652', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 4652/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7791931'}","{'EmentaMateria': 'Obriga os estacionamentos privados de shopping centers, centros comerciais ou estabelecimentos semelhantes a concederem o dobro do período de tolerância para saída a idosos, pessoas com deficiência e seus acompanhantes.', 'ExplicacaoEmentaMateria': 'Determina que os estacionamentos privados de shoppings, centros comerciais e similares concedam, aos idosos, às pessoas com deficiência e aos seus acompanhantes, um período de tolerância em dobro para saída.  Propõe ainda que, no caso de desrespeito a essa norma, sejam aplicadas as penalidades do Código de Defesa do Consumidor.', 'IndexacaoMateria': 'CRIAÇÃO ,  LEI FEDERAL ,  CONSUMIDOR ,  PESSOA IDOSA ,  PESSOA COM DEFICIENCIA ,  DIREITO ,  AMPLIAÇÃO ,  TEMPO ,  TOLERANCIA ,  ESTACIONAMENTO .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-08-21', 'DataLeitura': '2019-08-21'}","{'Classificacao': [{'CodigoClasse': '33809333', 'DescricaoClasse': 'Direitos Humanos e Minorias', 'DescricaoClasseHierarquica': 'Política Social / Proteção Social / Direitos Humanos e Minorias'}, {'CodigoClasse': '33809378', 'DescricaoClasse': 'Idosos', 'DescricaoClasseHierarquica': 'Política Social / Proteção Social / Idosos'}]}","{'AssuntoEspecifico': {'Codigo': '145', 'Descricao': 'Família, proteção a crianças, adolescentes, mulheres e idosos'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'DOCUMENTO', 'DataUltimaAtualizacao': '2024-03-22 11:06:16'}}"
"{'CodigoMateria': '138951', 'SiglaCasaIdentificacaoMateria': 'SF', 'NomeCasaIdentificacaoMateria': 'Senado Federal', 'SiglaSubtipoMateria': 'PL', 'DescricaoSubtipoMateria': 'PROJETO DE LEI', 'NumeroMateria': '05193', 'AnoMateria': '2019', 'DescricaoObjetivoProcesso': 'Iniciadora', 'DescricaoIdentificacaoMateria': 'PL 5193/2019', 'IndicadorTramitando': 'Sim', 'IdentificacaoProcesso': '7815112'}","{'EmentaMateria': 'Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para prever a possibilidade de os estabelecimentos de ensino de educação básica receberem doações de pessoas físicas e jurídicas.', 'ExplicacaoEmentaMateria': 'Altera a Lei de Diretrizes e Bases da Educação para permitir que estabelecimentos de educação básica recebam doação de pessoas físicas e jurídicas.', 'IndexacaoMateria': 'ALTERAÇÃO ,  LEI DE DIRETRIZES E BASES DA EDUCAÇÃO NACIONAL ,  POSSIBILIDADE ,  ESTABELECIMENTO DE ENSINO ,  EDUCAÇÃO BASICA ,  RECEBIMENTO ,  DOAÇÃO ,  PESSOA FISICA ,  PESSOA JURIDICA .', 'IndicadorComplementar': 'Não', 'DataApresentacao': '2019-09-24', 'DataLeitura': '2019-09-24'}","{'Classificacao': {'CodigoClasse': '33808972', 'DescricaoClasse': 'Educação', 'DescricaoClasseHierarquica': 'Política Social / Educação'}}","{'AssuntoEspecifico': {'Codigo': '144', 'Descricao': 'Educação'}, 'AssuntoGeral': {'Codigo': '84', 'Descricao': 'Social'}}","{'Atualizacao': {'InformacaoAtualizada': 'EVENTO_LEGISLATIVO', 'DataUltimaAtualizacao': '2024-03-21 08:45:10'}}"
